Age,Salary,Experience,Hours_Online,Previous_Purchases,Rating,Purchased
52,120158,13,7.5,12,2.8,1
50,73173,10,6.6,12,5.6,0
22,57430,4,4.3,9,7.6,0
59,59282,21,7.2,3,4.9,0
56,139719,11,8.6,8,7.0,1
58,83374,22,10.6,21,1.8,0
45,88244,11,8.0,23,7.7,1
24,31694,6,9.4,22,8.3,1
26,76264,8,2.8,26,7.4,0
25,95060,7,6.1,1,9.7,1
29,117416,11,1.1,18,8.4,0
51,77545,25,3.7,0,9.1,1
50,138195,18,9.0,24,9.4,1
40,59224,22,11.9,28,8.2,1
41,122516,13,2.1,6,7.1,0
54,117945,3,5.4,16,1.1,1
52,33224,12,9.8,2,5.2,0
57,60738,7,3.2,19,6.1,1
39,45150,21,7.1,19,3.7,1
44,83731,22,9.1,20,3.9,1
52,69688,20,7.8,29,9.7,1
18,119929,0,3.1,2,9.0,0
52,128618,18,4.9,2,8.6,1
54,93509,11,9.6,16,4.7,0
31,28577,13,7.1,6,1.1,0
20,28070,2,1.1,26,1.7,0
18,146161,0,9.4,25,3.8,1
22,28666,4,1.4,13,1.1,0
43,77761,21,9.2,16,1.2,0
31,141178,4,3.2,17,9.2,1
56,56368,23,11.5,12,7.4,1
44,26783,8,5.0,19,3.8,0
26,131530,8,4.6,28,2.2,0
32,61914,2,2.6,19,5.6,0
32,90507,14,4.4,20,1.0,1
43,147738,9,10.6,26,9.4,1
59,99026,18,12.0,17,4.7,1
30,135893,2,5.1,3,4.6,0
49,131255,28,5.9,0,4.5,0
56,130616,28,8.9,17,1.6,1
49,87526,21,10.7,0,6.7,1
21,90835,3,7.5,25,7.6,1
47,65765,14,5.3,25,7.1,1
54,39956,0,5.5,12,2.2,0
40,107895,6,8.7,19,6.2,0
56,66240,11,1.0,19,6.1,0
32,141008,14,7.8,22,8.8,1
60,57148,29,4.9,9,4.4,0
46,114270,20,9.7,26,4.3,1
53,147978,30,2.0,10,6.6,1
30,24757,12,7.5,8,6.7,0
49,39097,28,6.3,8,5.2,0
24,30395,6,8.1,4,5.0,0
39,36241,19,1.7,25,5.4,1
45,123892,4,7.4,0,8.7,0
19,47696,1,7.2,16,5.2,0
59,135654,27,7.2,21,9.5,1
23,90480,5,7.6,1,5.5,0
45,66163,27,8.4,23,9.5,1
45,39816,19,9.9,12,8.5,0
37,69840,19,4.0,8,4.3,0
47,122547,23,10.1,28,8.8,1
28,72853,10,6.5,3,2.0,0
45,44917,16,1.8,4,9.3,0
42,116731,18,1.6,10,6.7,0
56,41566,8,4.7,23,1.5,0
50,95452,3,9.6,18,6.8,1
18,82823,0,8.8,20,9.8,1
44,141392,20,9.7,2,1.6,0
30,40806,1,6.7,11,6.0,0
58,95520,3,5.8,25,7.7,1
20,21759,1,2.6,18,8.3,0
56,146092,14,4.6,18,4.7,1
23,61949,1,5.8,12,2.8,0
25,112374,3,2.0,27,1.4,0
44,22482,5,3.4,6,6.2,0
26,44442,6,7.6,14,5.1,0
54,53719,9,9.1,22,9.5,1
50,78066,18,12.0,6,1.5,0
59,113501,18,11.3,25,7.2,1
41,22079,23,8.1,7,1.2,0
32,22717,14,5.6,4,2.5,0
49,79676,28,8.0,20,5.1,1
49,47952,11,9.6,13,5.1,0
41,106444,2,2.3,3,7.2,0
58,62460,12,5.5,22,9.2,0
29,110397,11,10.2,9,6.8,0
56,92847,7,5.2,19,9.6,1
19,113607,1,7.3,14,8.9,0
20,109106,2,7.5,17,6.3,0
54,38449,0,3.0,19,8.5,0
34,53536,2,5.0,12,6.8,1
19,84077,1,4.7,28,1.7,1
19,58258,1,1.3,7,7.7,0
45,68302,3,1.3,8,1.9,0
40,145937,15,10.1,15,6.3,1
54,48865,29,4.0,18,7.3,1
49,26645,22,6.7,15,1.6,0
50,139771,9,4.3,6,3.1,0
18,58000,0,11.3,13,9.2,1
36,46737,13,3.9,27,6.5,0
19,31485,1,5.7,13,3.2,0
43,58565,1,10.6,24,7.2,1
49,45522,22,10.3,26,6.4,1
23,139614,4,3.0,3,5.5,0
49,85155,4,9.8,25,9.8,1
21,75168,3,6.0,14,7.2,0
28,72487,10,6.3,2,4.4,1
34,149948,8,2.5,4,8.2,1
55,32342,29,1.9,0,9.0,1
41,60806,21,9.0,2,2.1,0
22,68770,4,6.5,14,2.8,0
51,98623,28,5.8,23,2.9,1
23,123177,5,9.0,26,7.2,1
39,119785,13,9.4,7,6.4,1
28,95629,10,2.7,30,6.6,0
33,140993,6,7.7,28,9.5,1
50,72603,24,2.5,3,8.0,0
26,146944,8,9.3,1,2.2,0
23,132726,1,8.2,28,4.1,1
33,101974,6,11.5,23,4.9,1
46,125947,5,1.8,23,4.6,1
20,46399,2,1.6,9,7.0,0
37,148177,19,4.1,3,9.0,0
53,105382,24,3.9,2,3.8,0
36,101244,18,3.7,1,6.0,0
43,129575,25,11.0,24,8.1,1
20,135520,1,3.7,16,4.7,0
36,130904,2,4.0,22,2.5,1
37,96534,4,9.4,20,5.3,1
49,75106,4,5.9,23,1.5,1
24,132599,6,9.5,19,9.5,1
58,50678,0,1.7,22,1.7,0
50,96218,7,6.4,12,4.9,0
57,83230,11,1.4,4,5.8,0
56,134684,23,1.7,30,9.9,1
35,94055,3,11.0,29,2.5,1
57,76373,12,2.5,20,2.0,0
18,51480,0,6.9,29,1.1,0
28,105230,10,5.5,8,2.4,0
45,88836,27,4.8,24,2.9,1
42,92258,10,10.9,28,6.7,1
40,59986,9,1.2,24,3.0,0
48,44160,2,8.3,27,1.2,1
47,105595,21,11.6,21,8.4,1
59,121358,13,7.2,5,4.3,0
52,99111,15,11.3,4,4.2,1
24,84929,6,1.6,24,3.7,0
33,93506,15,5.6,9,9.8,1
43,54911,9,3.9,7,2.5,0
19,107127,1,9.0,6,9.1,0
18,51821,0,11.8,6,8.0,0
29,95039,8,3.8,5,1.7,0
22,80535,0,8.2,20,9.9,1
54,133453,4,3.2,28,3.4,0
49,104458,19,7.2,19,1.9,0
26,32175,7,6.1,2,8.5,0
58,139235,10,11.7,18,7.4,1
52,74771,11,7.7,21,6.6,1
36,126660,0,4.8,14,2.4,0
33,147157,15,2.3,3,5.3,0
20,141300,2,2.7,27,8.0,0
37,106925,19,3.5,11,3.7,0
41,133374,23,3.8,5,3.8,0
50,86358,24,10.4,18,1.0,1
41,37327,10,7.2,30,2.6,0
28,67057,4,6.8,3,8.9,0
25,26150,7,2.3,14,5.0,0
53,24425,4,10.5,8,9.9,1
55,143654,11,9.0,4,4.6,1
57,36032,4,1.7,12,7.4,0
37,22198,16,8.8,22,3.5,0
52,80500,16,7.0,25,4.3,1
42,73394,23,1.9,17,2.7,1
52,40079,11,6.0,29,4.1,1
42,56220,23,6.3,29,5.9,0
46,61874,27,2.8,4,9.9,1
35,33859,14,11.4,24,7.0,1
35,70460,14,10.3,15,2.8,0
19,51419,1,8.4,26,1.4,0
52,138865,11,6.1,18,2.1,0
33,28705,15,5.5,13,6.1,1
58,62880,28,8.2,24,7.9,1
53,149838,19,7.0,29,9.5,1
50,43236,17,1.7,15,1.1,0
21,107955,3,6.6,26,5.7,1
50,105514,1,9.9,14,5.2,0
31,123145,8,6.1,21,6.9,0
38,35358,20,1.6,3,6.0,0
37,119713,4,9.6,6,7.2,1
25,114914,7,3.2,15,6.9,1
24,122870,6,3.8,23,2.1,0
20,96918,2,2.8,21,8.2,0
34,139179,0,4.6,20,2.1,1
50,136243,22,9.3,21,7.3,1
29,34596,2,6.7,20,4.7,0
39,53572,5,3.3,7,5.6,0
39,98757,4,10.7,16,9.1,1
47,21279,20,10.7,15,9.0,0
55,83197,26,10.6,26,8.4,1
55,131496,4,3.6,22,5.6,1
25,82516,0,6.0,30,7.6,1
44,27083,16,11.8,9,5.6,1
44,140674,18,9.5,9,8.8,1
51,140307,13,1.3,26,4.6,1
38,146457,11,1.7,1,9.7,1
47,129397,9,6.1,30,9.4,1
50,37771,19,11.0,29,7.7,1
45,49975,20,6.9,8,3.5,0
50,65648,17,6.5,16,2.2,0
22,145641,4,2.2,10,8.7,0
36,68285,18,8.2,9,2.5,0
21,39063,3,10.0,21,8.7,0
52,87642,29,5.2,24,5.4,1
34,110093,1,9.5,16,4.7,0
45,134390,24,11.6,3,9.1,0
47,106143,17,3.2,15,6.4,0
46,57599,28,6.8,19,6.2,1
23,71920,5,4.2,14,6.0,1
52,48529,6,9.7,24,4.3,0
58,55954,30,7.4,26,8.1,1
54,47856,23,8.0,20,3.3,1
41,22573,14,9.8,4,9.5,1
46,98344,10,5.4,5,9.0,0
48,55367,17,11.1,16,4.0,0
52,122337,22,6.9,0,7.6,1
50,126732,11,2.7,30,6.2,1
38,119608,5,8.7,24,4.0,1
49,80774,19,9.7,18,9.9,1
40,43752,22,4.5,3,1.2,0
50,75029,29,10.4,16,3.3,0
20,37685,2,11.0,8,5.7,1
35,71693,17,4.0,30,5.7,1
42,136739,15,11.8,23,6.3,1
59,75961,17,2.5,1,7.8,0
48,126937,9,3.2,7,6.6,0
20,144956,2,3.0,14,6.4,0
57,96908,22,10.8,6,1.5,1
41,145537,7,8.2,26,4.4,1
49,146678,17,2.7,5,3.1,1
39,94532,20,5.8,0,3.4,0
40,101994,0,7.8,14,6.0,0
19,76133,1,1.9,22,2.8,0
44,117425,7,10.7,25,3.6,0
59,145055,28,9.8,6,3.1,1
19,81268,1,6.6,28,9.5,1
43,112201,4,11.6,29,9.5,1
34,58243,14,5.6,24,6.5,1
57,77384,21,11.8,16,9.3,1
50,51653,14,8.3,1,8.1,1
26,46657,1,8.0,26,6.3,0
60,59952,0,2.8,8,1.1,0
56,42180,22,10.7,28,8.0,1
46,117432,22,5.7,8,7.3,1
59,141829,25,2.8,12,6.5,0
43,148377,10,1.1,5,7.8,0
52,98411,9,7.2,5,5.6,0
42,21622,24,6.8,19,7.3,1
41,68756,17,8.9,19,9.4,1
30,60809,12,10.8,20,4.4,1
24,36725,6,1.9,2,7.4,0
53,81396,25,9.0,16,5.3,1
37,71226,7,3.1,30,7.1,1
18,126296,0,10.4,16,7.9,1
25,101182,7,10.0,11,1.4,0
33,102565,15,6.9,15,6.8,1
31,49402,11,8.8,14,3.0,0
29,24263,11,4.5,12,7.0,1
40,143489,7,6.2,22,5.2,1
32,116523,14,10.0,0,8.0,0
45,66828,13,6.1,16,2.1,1
51,140824,3,4.9,2,6.6,0
19,67924,0,6.4,25,3.5,1
49,94182,0,10.1,14,8.7,1
40,113065,18,4.7,3,9.4,1
39,79052,21,2.9,3,10.0,1
42,31664,15,8.8,17,8.2,1
39,55737,13,10.1,16,7.8,1
39,121332,20,2.1,18,2.9,0
59,109563,15,3.6,10,4.0,0
23,49373,4,2.6,19,5.2,0
32,137369,8,4.8,2,8.0,0
60,56397,25,6.0,7,9.2,0
54,148575,29,9.2,13,2.7,1
50,106145,27,8.2,25,9.3,1
25,121371,1,7.8,0,7.3,0
22,58709,4,4.9,13,6.5,1
56,136074,5,10.3,1,2.8,1
21,81120,3,6.2,28,1.5,0
23,39250,5,11.8,22,6.1,0
49,41172,0,8.0,3,6.9,1
47,31555,8,2.4,23,2.9,0
52,107410,24,8.4,26,6.0,1
57,98617,15,4.6,28,8.7,1
33,73276,12,8.5,18,8.5,1
30,77492,8,1.8,5,9.3,0
59,73002,20,2.9,24,4.3,0
47,140103,12,10.4,0,3.9,0
36,144938,18,3.5,16,7.7,1
34,109599,8,10.2,7,4.9,0
36,92355,10,4.1,18,1.8,1
45,111248,3,8.1,20,3.5,1
43,44762,1,8.6,0,4.8,0
54,31046,28,6.6,4,3.6,1
43,116999,5,4.4,26,4.0,1
40,144130,13,3.3,15,3.6,1
26,136021,3,1.4,5,1.4,0
29,48769,5,4.3,7,6.7,0
18,73302,0,8.2,12,6.4,0
18,43150,0,11.3,15,6.9,1
51,88247,1,10.6,29,2.7,1
49,24853,17,9.4,2,3.7,0
42,114613,12,9.7,18,6.6,1
57,140900,8,8.3,11,6.4,0
18,109399,0,3.9,15,5.6,0
33,41792,15,11.0,26,4.2,1
56,79129,12,8.4,10,9.2,1
22,126019,4,7.2,9,4.1,0
39,94478,0,2.2,24,5.1,0
46,133811,23,5.9,19,7.1,1
20,134130,2,6.1,30,5.9,1
29,87298,11,10.5,3,4.1,0
43,51987,6,7.0,11,4.9,1
33,35850,15,5.2,22,8.2,1
54,32112,20,11.7,1,3.5,1
39,141789,14,2.2,23,2.3,0
46,44058,0,5.6,21,3.8,1
31,65420,11,1.5,18,8.6,1
45,58890,25,9.1,24,1.8,1
22,86017,4,11.1,4,9.9,1
47,67304,14,4.1,7,5.9,1
22,52921,4,10.4,6,9.9,1
29,125921,11,4.2,13,9.5,0
33,21524,15,11.0,23,5.1,1
43,120424,25,9.3,22,2.8,1
43,35048,24,9.9,2,2.5,0
38,55111,0,1.2,17,3.2,0
56,57904,16,11.6,15,7.4,1
53,74912,16,9.0,22,3.5,1
50,54008,2,4.4,18,4.1,0
47,20060,11,10.1,18,5.0,1
54,94666,5,4.1,17,9.2,1
40,103559,22,10.6,19,2.7,1
27,75337,9,2.2,15,1.0,0
22,130616,2,8.7,7,1.5,1
53,33350,7,6.9,27,9.1,1
51,44354,13,2.1,0,6.8,0
48,65186,13,3.7,16,3.5,0
27,48145,9,1.1,11,2.6,0
36,54020,1,6.2,29,3.6,1
49,106123,13,4.3,20,2.0,1
18,126667,0,7.6,10,9.5,1
22,95186,2,4.3,4,8.1,1
21,105469,3,4.3,26,5.2,1
33,40581,15,9.2,11,8.8,1
41,108929,7,1.5,16,3.2,0
33,43051,15,10.9,5,7.5,0
19,71474,1,10.4,0,8.7,0
45,111748,5,8.3,4,4.2,0
49,145995,27,7.5,24,7.8,0
44,134618,20,10.8,27,3.7,1
37,89626,19,3.0,13,3.7,0
41,26960,23,1.9,4,2.0,0
29,55772,11,3.6,21,5.0,0
52,41520,11,9.7,23,7.6,0
50,69481,4,1.4,26,9.5,1
50,56408,1,7.4,0,6.4,0
60,114006,15,11.9,29,8.8,1
54,148496,4,10.4,17,8.4,1
29,77134,11,6.7,15,2.6,0
20,40491,2,1.7,8,5.4,0
18,21341,0,10.1,18,2.1,0
50,64623,14,7.6,21,7.1,0
57,110327,10,2.3,4,9.5,1
27,20338,9,2.0,26,2.2,0
60,91431,22,11.0,1,7.6,0
46,32254,5,8.4,29,6.7,0
30,71860,12,10.1,14,6.3,0
29,31344,11,10.7,6,4.5,1
48,21750,11,7.3,3,4.2,0
19,74756,1,6.7,0,1.4,0
52,87957,10,5.7,12,3.0,1
40,125423,12,4.5,19,1.1,1
34,78053,16,5.8,21,6.2,1
43,90855,22,9.5,6,2.0,0
25,35896,7,7.6,14,8.9,0
46,75761,22,10.8,22,5.7,1
43,82552,15,5.9,13,7.3,1
27,140075,9,7.7,22,4.7,1
43,97454,20,7.9,18,6.0,1
51,146522,27,7.5,21,9.5,1
58,138681,14,8.7,28,1.7,1
24,110600,6,3.6,23,3.3,0
21,142732,3,6.6,19,8.0,1
28,132153,10,2.1,28,1.9,1
46,142926,18,5.2,23,1.7,1
53,47935,14,6.4,17,4.3,1
42,57641,3,8.2,30,1.8,1
38,49711,20,11.5,9,6.3,0
53,90342,12,7.6,8,3.0,1
27,126896,9,9.2,24,9.1,1
54,32182,18,6.6,7,8.1,0
26,107833,1,8.0,25,7.3,0
41,76276,13,1.8,29,6.6,0
52,39541,28,3.8,28,8.8,1
52,114457,3,5.0,9,3.0,1
53,102310,15,6.2,16,8.9,1
35,64813,17,1.5,1,8.1,0
56,57198,19,2.5,5,7.7,1
49,28820,13,4.0,25,6.1,0
41,44070,23,11.7,4,3.2,0
40,89768,22,4.6,27,4.8,1
49,31122,14,6.3,29,8.1,1
54,100559,27,3.2,8,1.3,1
29,93543,2,7.7,4,8.0,1
30,103441,7,4.1,17,3.2,1
40,61786,15,3.3,25,2.3,0
42,114934,9,6.7,19,2.0,0
52,119804,3,1.1,8,1.2,0
58,26737,29,1.1,16,5.7,0
47,56062,17,3.4,26,3.0,0
34,74237,1,1.4,16,9.9,0
37,71571,16,2.2,11,6.2,1
42,45510,12,4.7,6,2.2,0
39,39426,3,9.8,26,7.2,1
30,57265,12,7.3,2,9.1,0
36,37850,18,6.6,9,7.7,1
53,138249,29,4.2,1,1.7,1
29,86150,10,11.2,24,9.1,1
58,107312,6,5.4,2,8.1,0
36,109613,18,2.0,15,2.4,0
29,94910,11,7.8,1,1.5,0
26,72375,8,2.3,27,6.0,0
24,141826,6,4.8,23,2.4,0
45,55435,12,6.6,9,8.5,1
31,116443,13,10.6,5,4.2,1
48,77132,6,6.4,21,9.2,1
36,98945,18,8.7,25,6.1,1
33,102050,15,11.9,10,2.6,1
22,149828,4,2.4,22,2.3,1
52,115402,9,4.0,6,6.2,1
29,22983,11,5.3,26,7.9,0
42,117241,9,5.6,28,8.0,1
38,40662,20,5.5,14,3.5,0
53,43510,3,11.0,5,2.8,0
40,98187,19,8.9,19,1.2,0
33,60998,3,7.7,26,7.1,1
56,76846,21,4.4,8,1.7,1
59,114071,6,10.1,21,4.8,1
56,26640,21,11.5,19,6.4,1
31,64547,0,10.0,11,9.4,1
48,74620,11,1.0,18,3.8,1
22,35317,4,8.0,19,3.2,0
52,135608,12,1.6,2,6.9,0
40,27564,9,3.8,14,6.6,0
46,47345,14,1.7,1,4.0,0
60,133824,26,7.6,29,9.4,1
28,114223,10,8.6,20,8.6,0
35,143372,17,2.3,1,3.0,0
29,99273,11,5.2,21,3.2,0
26,94859,8,6.0,2,5.6,1
27,100765,9,5.1,5,8.0,0
34,130017,16,2.3,14,1.4,0
55,94038,27,5.6,26,7.2,1
24,143618,6,9.3,9,6.8,1
30,72393,12,1.8,8,3.1,1
57,86081,8,1.9,0,7.1,0
59,145341,14,4.9,15,9.5,1
26,122650,8,11.4,5,1.4,0
44,49430,23,8.4,8,3.9,1
19,95532,1,8.5,26,4.9,1
22,47788,4,5.0,3,9.1,0
46,115505,28,7.5,26,9.7,1
54,68543,9,1.1,27,5.0,1
55,33919,7,8.0,1,7.8,0
36,89346,18,11.0,28,5.8,1
25,116122,7,7.7,3,5.8,0
18,59974,0,10.6,0,3.5,0
39,127309,21,9.0,18,3.0,1
34,36371,16,2.3,25,3.6,1
24,65084,4,10.9,24,6.0,0
42,49629,3,1.7,9,1.3,0
21,71184,3,6.9,20,9.2,1
53,81916,23,2.6,14,2.4,0
23,147293,5,1.1,26,3.0,0
48,93972,3,5.6,21,5.7,1
36,82187,18,4.2,18,7.4,1
56,32984,6,6.3,15,1.9,1
44,53039,9,7.3,20,3.9,1
27,105431,9,1.5,26,9.7,1
43,103691,17,2.4,23,3.4,1
36,78606,18,7.1,21,3.8,0
56,30616,3,4.8,3,8.5,0
20,122665,2,9.0,1,1.5,0
30,125373,0,8.2,29,5.2,0
45,70072,22,10.3,24,4.4,0
37,44574,17,8.6,12,3.8,0
45,23430,4,5.7,27,3.6,1
25,139123,7,8.4,0,1.8,0
58,32676,16,4.0,16,3.8,0
56,30816,2,4.4,12,1.4,0
18,52733,0,9.7,3,8.0,0
20,105680,1,5.9,6,4.6,1
30,22050,0,9.8,16,5.0,1
45,129996,22,10.0,8,9.0,1
42,53933,20,10.4,3,6.9,1
50,44951,16,11.1,18,1.1,1
55,52413,21,5.7,0,9.5,0
23,54801,5,4.5,9,3.1,0
49,75619,4,7.4,3,2.0,0
38,52913,14,5.1,8,7.9,0
33,132573,2,7.6,12,5.5,1
38,139076,20,8.8,13,4.9,1
28,60600,6,8.6,9,3.2,0
54,77775,10,5.1,5,5.9,0
53,110816,9,2.8,15,3.5,0
52,149972,8,5.7,5,9.1,1
36,110093,13,2.6,16,2.9,1
37,132590,12,10.8,9,9.0,0
35,55400,17,4.8,17,6.0,0
58,24494,24,2.7,26,8.5,1
31,100688,13,1.3,21,7.4,0
32,142744,14,8.1,17,7.3,0
48,109431,1,8.0,2,3.9,1
18,94691,0,4.7,19,3.1,0
20,117419,2,1.8,26,2.9,0
33,128730,15,5.5,20,8.7,1
40,63001,17,4.4,30,8.4,1
28,87364,2,8.4,24,5.0,0
29,144988,9,7.7,27,2.2,1
27,65028,9,5.0,14,4.4,0
49,127434,28,3.4,14,6.6,1
33,117659,6,11.9,3,5.1,0
25,57573,7,6.0,28,8.0,0
55,20806,16,8.6,26,10.0,0
29,144343,10,2.5,8,2.7,1
41,76638,6,6.3,26,5.1,0
45,148301,23,1.3,25,4.9,1
25,146295,7,6.6,18,3.7,1
45,126506,13,11.6,23,2.8,1
53,49757,18,5.2,27,1.6,0
43,54636,3,1.4,16,9.0,1
25,100097,7,1.3,10,4.8,0
45,68280,5,5.3,24,5.5,0
45,44262,9,2.8,8,9.3,1
54,100435,6,1.3,9,8.0,0
58,82211,12,9.3,17,2.2,1
53,74842,13,6.0,19,6.1,1
44,148583,3,4.2,12,5.0,1
34,76979,7,10.9,7,8.2,0
26,134524,4,2.3,6,7.5,0
50,101470,0,11.5,16,7.2,1
37,58197,3,4.5,20,4.1,1
30,61844,2,10.8,22,8.2,1
45,84754,8,7.6,14,1.5,0
46,121868,7,10.1,19,2.4,1
30,54157,0,11.8,14,4.0,1
52,97129,26,4.2,30,1.7,1
23,60042,5,11.6,0,3.1,0
35,81665,8,5.3,24,8.5,0
22,135512,4,5.2,13,9.5,0
42,136953,3,4.7,4,3.7,0
19,102856,1,7.0,10,3.4,0
27,47376,9,2.7,15,3.5,0
47,129049,27,7.1,1,3.5,1
22,75554,1,7.0,7,1.3,0
50,34199,27,9.4,10,9.3,1
18,138533,0,10.2,28,2.9,1
35,101412,11,5.8,17,4.8,0
49,70948,26,4.3,2,1.1,0
28,93781,10,3.9,29,8.7,1
38,92750,7,3.1,25,7.6,1
43,86262,5,1.6,0,9.5,0
42,137424,7,4.8,10,8.0,1
39,66600,17,4.0,15,3.8,0
44,96898,2,11.6,17,3.2,1
30,82483,12,7.1,29,7.3,1
50,38297,11,4.8,15,4.3,0
51,50448,28,7.4,22,6.1,1
58,46172,25,2.5,9,1.1,0
52,62874,2,5.9,17,1.6,0
18,27657,0,7.9,5,5.8,0
38,104386,5,6.4,30,6.1,0
23,145617,1,5.4,18,7.8,1
45,45425,22,11.9,3,2.2,0
34,46685,11,10.7,26,5.6,0
22,142000,1,7.9,30,2.8,0
48,132855,5,7.3,12,1.8,0
22,44578,4,7.8,23,4.7,1
55,48831,2,3.2,13,2.5,0
20,27906,1,5.3,2,3.0,0
40,81413,22,1.4,9,3.9,1
54,74028,29,6.2,5,3.3,0
54,27287,19,7.0,0,1.8,0
27,53660,7,3.5,22,1.8,0
27,95758,9,11.6,23,2.7,1
36,80504,11,11.0,26,1.5,0
34,79720,16,8.9,13,6.6,0
38,122979,3,6.9,7,3.6,0
31,54701,4,10.6,18,3.5,1
26,103300,8,2.4,13,4.0,0
18,130177,0,9.7,9,7.0,1
30,37674,12,2.4,16,8.8,1
21,103560,3,9.7,8,7.8,0
18,131543,0,4.0,28,7.5,0
57,43874,22,10.6,5,5.4,1
49,63642,15,11.4,10,7.2,0
51,143867,9,2.6,24,6.0,1
45,117820,27,6.1,6,2.9,0
48,85160,29,11.8,16,2.9,1
25,37602,7,6.3,27,3.7,0
56,123320,22,10.5,27,9.2,1
43,108801,15,7.5,0,5.9,0
51,45931,11,5.1,21,7.6,1
20,114377,2,4.1,4,4.1,0
29,49192,11,3.2,8,4.7,0
18,66542,0,9.4,17,2.1,0
22,147015,4,5.3,23,2.5,0
47,62520,19,6.6,26,8.4,0
47,84772,2,6.4,20,6.3,0
34,78762,15,7.4,1,4.0,0
40,70106,22,10.5,28,8.2,1
32,101121,12,11.8,25,3.2,1
54,45559,22,5.5,10,9.8,0
38,125595,20,10.1,26,4.1,1
31,53742,13,9.4,27,4.0,1
19,89669,1,7.3,5,3.8,1
28,100199,10,11.5,25,2.1,1
56,41754,4,3.2,7,2.0,0
55,23972,19,2.2,3,6.8,1
51,90831,7,10.4,17,8.9,1
55,132217,23,5.8,27,8.1,1
51,61873,11,10.3,10,2.3,0
35,114661,0,10.8,4,5.9,0
47,126532,24,1.7,14,2.0,1
32,146267,14,10.7,27,1.4,1
44,29903,20,5.9,17,6.9,0
51,23020,19,6.6,1,5.8,0
55,61755,5,7.9,30,1.7,0
50,105956,21,11.2,21,1.3,1
